id,type,title,area_m2,rooms,floor,price_zl,price_per_m2,street,district,city,project,lat,lon,dist_km,dist_tram,tram_name,drive_tram_km,drive_tram_name,drive_rail_km,drive_rail_name,drive_ratusz_km,url
63774661,dom,"Rokietnica Centrum ul.Paryska, pow. 100,82m2",100.82,4,,729000,7231,,Rokietnica,Rokietnica,,52.51192,16.73185,17.9,13.64,Os. Sobieskiego,19.34,Os. Sobieskiego,3.44,Rokietnica,24.26,https://www.otodom.pl/pl/oferta/rokietnica-centrum-ul-paryska-pow-100-82m2-ID4jAHz
67673616,dom,"Funkcjonalny dom z ogrodem, blisko lasu!",94.75,4,,729000,7694,Wierzbowa,Dopiewiec,Dopiewiec,,52.36729,16.70517,16.2,8.98,Junikowo,12.92,Cmentarna,5.95,Palędzie,25.7,https://www.otodom.pl/pl/oferta/funkcjonalny-dom-z-ogrodem-blisko-lasu-ID4zVZV
67232398,dom,MEGA PROMOCJA/4 pok/garderoba/duża działka/ogrz podł/parking,106.3,4,,730000,6867,ul. Koszycy,Rokietnica,Rokietnica,,52.51717,16.73825,17.9,13.49,Os. Sobieskiego,19.91,Os. Sobieskiego,3.18,Rokietnica,24.83,https://www.otodom.pl/pl/oferta/mega-promocja-4-pok-garderoba-duza-dzialka-ogrz-podl-parking-ID4y6dv
67456861,dom,Promno Park_17,88.47,4,,734301,8300,ul.Rzepichy,Promno-Stacja,Promno,Promno Park,52.47224,17.21312,20.2,15.86,Miłostowo,19.68,Mogileńska,10.13,Kobylnica,22.83,https://www.otodom.pl/pl/oferta/promno-park-17-ID4z2BT
68198760,dom,"GOTOWY DOM NA SPRZEDAŻ, UL. SEZAMOWA, GORTATOWO!",83.3,4,,739000,8872,Sezamowa,Gortatowo,Gortatowo,,52.42661,17.10624,11.9,7.26,Miłostowo,9.67,Mogileńska,4.29,Swarzędz,14.4,https://www.otodom.pl/pl/oferta/gotowy-dom-na-sprzedaz-ul-sezamowa-gortatowo-ID4C9C0
67457304,dom,Dom z garażem i dużym ogrodem w cenie mieszkania w Poznaniu – 101 m²,101.35,4,,739000,7292,Lubczykowa,Rumianek,Tarnowo Podgórne,,52.46124,16.6213,22.0,16.85,Junikowo,19.99,Cmentarna,17.71,Kiekrz,23.96,https://www.otodom.pl/pl/oferta/dom-z-garazem-i-duzym-ogrodem-w-cenie-mieszkania-w-poznaniu-101-m-ID4z2J2
66850786,dom,Nowoczesny Dom Stęszew,148.4,5,,739999,4987,,Stęszew,Stęszew,,52.28688,16.70659,20.5,13.84,Junikowo,16.97,Cmentarna,1.59,Stęszew,23.03,https://www.otodom.pl/pl/oferta/nowoczesny-dom-steszew-ID4vuVu
68025041,dom,Gołuski koło Plewisk willa miejska przy Poznaniu,96.22,4,,740000,7691,ul. Dopiewska,Gołuski,Plewiska,,52.35907,16.75314,13.4,6.17,Junikowo,7.9,Cmentarna,2.36,Palędzie,18.06,https://www.otodom.pl/pl/oferta/goluski-kolo-plewisk-willa-miejska-przy-poznaniu-ID4Bqq5
68124806,dom,"Ostatni lokal w inwestycji wrócił do sprzedaży! 4pokoje 84,62 m2!",84.64,4,,744717,8799,ul. gen. Stanisława Taczaka,Koziegłowy,Koziegłowy,,52.44484,17.00232,6.2,3.83,Lechicka/Naramowicka,6.54,Włodarska,4.2,Czerwonak,9.15,https://www.otodom.pl/pl/oferta/ostatni-lokal-w-inwestycji-wrocil-do-sprzedazy-4pokoje-84-62-m2-ID4BQnc
68120428,dom,"Dom, 114 m², Dachowa",114,5,,748000,6561,,Dachowa,Dachowa,,52.30575,17.07423,14.9,9.79,Franowo,12.7,Szwedzka,3.18,Gądki,17.0,https://www.otodom.pl/pl/oferta/dom-114-m-dachowa-ID4BPeA
67089243,dom,Forall Osiedle Harmonia  | 4-pok. | 2_1,93.8,4,,749000,7985,ul. Stajenna,Pawłowice,Pawłowice,Forall Osiedle Harmonia,52.49561,16.79521,13.5,8.99,Os. Sobieskiego,13.91,Lutycka Szpital,2.61,Kiekrz,18.23,https://www.otodom.pl/pl/oferta/forall-osiedle-harmonia-4-pok-2-1-ID4xuYz
67089242,dom,Forall Osiedle Harmonia  | 4-pok. | 2_2,93.8,4,,749000,7985,ul. Stajenna,Pawłowice,Pawłowice,Forall Osiedle Harmonia,52.49561,16.79521,13.5,8.99,Os. Sobieskiego,13.91,Lutycka Szpital,2.61,Kiekrz,18.23,https://www.otodom.pl/pl/oferta/forall-osiedle-harmonia-4-pok-2-2-ID4xuYy
68197234,dom,Swarzędz Gortatowo Orkiszowa 9/2 - ostatni lokal na dużej działce,80.78,4,,749000,9272,,Swarzędz,Gortatowo,,52.4076,17.07351,9.5,4.81,Miłostowo,7.54,Mogileńska,2.12,Swarzędz,12.28,https://www.otodom.pl/pl/oferta/swarzedz-gortatowo-orkiszowa-9-2-ostatni-lokal-na-duzej-dzialce-ID4C9do
68196294,dom,✅Dopiewiec /Na Granicy z Dopiewo/Lewy Wolny✅,114.45,5,,749000,6544,Bajkowa,Dopiewo,Dopiewiec,,52.36497,16.70332,16.4,9.15,Junikowo,12.41,Cmentarna,5.44,Palędzie,25.2,https://www.otodom.pl/pl/oferta/dopiewiec-na-granicy-z-dopiewo-lewy-wolny-ID4C8Ye
